id,titulo,accion,comedia,drama,scifi,terror,romance,rating,es_serie
442,Luz del héroe: Parte III,0,1,0,0,0,0,6.2,0
443,Camino del mañana vengador,1,0,0,0,0,0,7.8,0
444,Pacto de las estrellas,0,1,0,0,0,0,7.9,1
445,Camino de la noche,0,0,0,0,1,0,9.8,0
446,La rebelión eterno,1,0,0,0,0,0,8.8,1
447,Pacto de la justicia,0,1,1,0,0,0,3.7,1
448,La búsqueda de la noche: Parte IV,0,0,0,0,1,0,7.3,0
449,El misterio del paraíso: Parte II,0,1,1,1,0,0,4.6,1
450,El secreto del desierto,1,0,1,1,0,0,4.6,1
451,El juicio de la selva dorado,0,1,1,0,0,0,7.8,0
452,El secreto olvidado,1,1,0,0,0,1,9.3,0
453,La rebelión del abismo,0,0,0,0,0,0,6.1,0
454,El despertar del pasado: Parte II,0,1,0,0,0,0,8.8,0
455,El misterio de la corona: Parte III,0,1,1,0,0,0,7.4,1
456,Las voces del abismo eterno,0,0,0,0,0,0,8.2,1
457,El regreso del pasado: Parte IV,0,1,1,0,0,0,7.8,1
458,Frontera mortal,0,1,1,0,0,1,7.5,0
459,Ecos fantasma,0,0,1,0,0,0,8.2,1
460,La sombra del océano,1,0,1,0,1,0,8.2,0
461,El despertar del traidor: Parte II,0,0,0,0,1,0,8.7,0
462,Las voces olvidado,1,1,1,1,1,0,4.2,1
463,Crónicas del pasado: Parte II,0,1,1,1,0,1,5.1,1
464,Crónicas del tiempo: Parte I,1,0,1,1,0,0,6.0,1
465,El misterio de la corona,0,0,0,0,0,0,7.1,1
466,El imperio del paraíso,1,0,1,0,0,0,5.3,1
467,El precio profundo,0,1,0,0,0,1,9.4,0
468,El misterio de la verdad salvaje,1,1,0,0,0,0,9.6,0
469,Operación de la corona: Parte II,1,0,1,1,0,0,9.4,0
470,Operación de la verdad imposible,0,0,1,0,0,1,8.4,1
471,Pacto eterno,1,0,0,0,0,1,7.1,0
472,El despertar de la libertad,0,1,1,0,0,0,3.2,0
473,Luz fantasma,1,0,1,0,1,0,8.1,1
474,La búsqueda del pasado: Parte IV,0,1,1,0,0,1,6.2,0
475,El destino del abismo vengador,1,0,1,0,1,0,4.0,1
476,El secreto caótico,1,0,1,0,0,0,6.8,1
477,Pacto de cristal: Parte IV,0,0,0,0,0,0,3.1,0
478,El código del héroe: Parte II,1,0,0,1,0,1,6.6,1
479,Pacto del infierno caótico,1,0,1,0,0,0,9.5,0
480,Crónicas del mañana absoluto,1,0,1,0,0,0,3.6,0
481,El último del olvido salvaje,1,0,1,0,0,1,6.0,0
482,El código de la noche: Parte II,0,1,1,1,0,1,9.2,1
483,El misterio del océano absoluto,0,1,0,0,0,1,4.1,0
484,El secreto de la libertad invisible,0,1,1,1,0,0,7.8,0
485,El secreto del olvido: Parte I,1,1,0,0,0,0,7.9,0
486,La sombra olvidado,0,1,1,0,0,1,6.1,1
487,La rebelión del desierto,1,0,0,0,0,0,5.2,0
488,La búsqueda del pasado absoluto,1,0,1,0,0,1,6.5,0
489,El código del infierno prohibido,0,0,1,0,0,0,3.5,0
490,El código de la venganza: Parte IV,0,1,0,0,0,0,9.7,1
491,El imperio vengador,0,0,0,0,0,0,8.2,0
492,Cazadores de la libertad: Parte III,1,1,1,0,0,0,7.6,1
493,Camino de la noche eterno,0,0,0,0,0,0,7.6,0
494,Ecos de la verdad: Parte I,0,1,0,0,1,1,7.7,1
495,Pacto del tiempo,0,1,0,1,0,1,3.1,1
496,El misterio urbano,0,1,0,0,0,0,4.6,0
497,Crónicas dorado,0,0,0,0,0,0,4.7,0
498,El secreto del tiempo: Parte IV,0,0,0,0,0,0,7.3,0
499,Crónicas invisible,0,0,0,0,1,0,8.5,1
500,La búsqueda del pasado imposible,0,0,1,0,0,1,4.0,1
501,El imperio del mañana: Parte IV,1,1,1,1,0,1,7.2,0
502,Camino final,1,0,0,0,0,0,4.4,0
503,La búsqueda de sangre: Parte III,0,0,0,0,0,0,7.4,1
504,Cazadores oculto,1,1,0,0,0,0,6.8,1
505,El secreto de la justicia,1,0,0,0,0,0,6.6,0
506,Las voces del mañana: Parte IV,1,0,1,0,0,0,3.3,0
507,Camino de la libertad invisible,0,0,0,0,0,1,3.7,1
508,La búsqueda del océano silencioso,0,0,0,0,1,0,9.2,1
509,La búsqueda del héroe: Parte I,0,1,1,0,0,0,4.5,0
510,El último de la noche,0,0,0,0,0,0,4.8,0
511,El último de la venganza,1,1,1,0,0,0,9.6,1
512,El destino del traidor perdido,0,0,1,0,1,0,3.5,0
513,El regreso del océano: Parte III,0,0,0,0,0,0,8.3,0
514,Operación de la verdad ancestral,1,1,1,0,0,0,5.5,1
515,El regreso del océano absoluto,0,0,0,0,0,1,9.3,0
516,El último silencioso,0,0,1,0,0,1,3.3,0
517,Ángeles del desierto: Parte I,1,0,0,0,0,0,5.2,0
518,Camino de la verdad,0,1,0,0,1,0,4.3,1
519,El destino de la venganza,1,0,1,0,0,0,8.6,1
520,El secreto de la corona,0,0,0,0,0,0,6.3,0
521,Frontera de un extraño,0,0,0,0,0,0,6.2,0
522,El código de la verdad: Parte III,0,0,1,1,0,0,7.3,1
523,Lágrimas del olvido inmortal,1,1,0,0,0,0,8.6,1
524,El despertar de la selva: Parte I,0,0,1,0,0,0,6.7,1
525,El secreto del olvido imposible,0,0,0,0,1,0,4.5,0
526,El regreso del mañana,1,1,0,0,0,0,3.2,1
527,El regreso sagrado,0,1,1,0,0,0,9.0,1
528,El despertar de la noche,1,1,1,0,1,0,7.0,1
529,El imperio de la venganza: Parte II,0,0,1,0,0,1,7.4,1
530,La búsqueda de cristal olvidado,1,0,0,0,0,0,5.9,0
531,El precio del tiempo final,0,1,1,1,0,0,5.2,1
532,La leyenda siniestro,0,0,1,0,0,0,3.4,1
533,La sombra del dragón eterno,0,0,1,0,0,0,8.7,0
534,La rebelión del dragón: Parte IV,0,0,1,0,0,0,7.5,1
535,El misterio del infierno vengador,1,0,0,0,0,0,7.3,1
536,Ecos de la corona final,0,1,1,0,0,1,9.7,1
537,Frontera del imperio: Parte IV,0,1,1,0,1,0,3.2,1
538,El juicio silencioso,1,0,0,1,0,1,6.2,0
539,Pacto del laberinto,0,0,0,0,0,0,9.1,1
540,El misterio supremo,0,0,0,0,0,1,7.4,1
541,Operación del pasado,1,1,1,1,0,0,3.3,0
542,El secreto del héroe supremo,1,0,0,0,0,1,5.8,1
543,Frontera del abismo: Parte IV,0,0,1,0,0,0,8.5,1
544,El misterio perdido,1,1,1,0,0,0,7.2,0
545,Lágrimas dorado,0,0,0,0,1,0,4.5,1
546,Frontera absoluto,0,0,1,0,0,0,5.9,0
547,Cazadores del océano: Parte III,0,1,0,1,0,0,5.3,1
548,La rebelión del héroe: Parte II,0,1,1,0,0,0,8.0,0
549,El código del abismo profundo,1,0,0,0,0,0,8.2,1
550,La leyenda del héroe oculto,0,0,0,0,1,1,4.5,0
551,El juicio absoluto,0,0,1,0,1,0,3.5,1
552,El imperio del infierno mortal,0,1,1,0,0,0,5.3,1
553,El regreso del mañana supremo,0,1,1,0,0,1,9.2,0
554,El regreso de las estrellas,0,0,1,0,0,1,5.8,0
555,El código eterno,1,1,0,1,0,1,6.6,0
556,Camino del tiempo: Parte III,0,0,0,0,0,1,9.6,0
557,El destino de un extraño sagrado,0,0,0,0,0,0,4.0,0
558,El imperio oculto,0,1,1,0,0,0,8.1,0
559,Frontera de la libertad vengador,0,0,1,0,0,1,6.2,0
560,La sombra de la noche,0,1,0,0,1,1,4.1,1
561,La sombra del olvido,0,0,1,0,0,1,8.1,0
562,Frontera de la noche secreto,0,1,0,0,1,1,3.1,0
563,El juicio salvaje,1,1,1,0,0,0,8.3,0
564,El secreto de cristal: Parte I,0,0,0,0,0,0,3.1,1
565,El código silencioso,1,0,0,1,0,0,3.6,0
566,Ángeles urbano,0,1,0,0,0,1,4.6,1
567,El código de la verdad,1,1,1,1,1,1,5.9,1
568,Ángeles del mañana perdido,1,0,0,0,0,0,7.6,0
569,Lágrimas del desierto invisible,0,0,1,0,1,0,3.1,0
570,El despertar de la venganza,0,1,1,1,0,0,6.5,1
571,Ángeles del olvido,0,0,1,0,0,0,3.9,1
572,El precio olvidado,1,0,1,0,0,0,6.0,0
573,Lágrimas prohibido,1,1,1,0,1,1,4.9,0
574,El precio prohibido,1,0,1,1,1,0,3.7,1
575,El precio sagrado,0,0,0,0,0,1,6.6,0
576,La rebelión de la selva perdido,0,0,0,0,0,0,9.3,0
577,Camino del pasado,0,1,1,0,1,0,8.0,1
578,El último del océano oscuro,0,1,0,0,1,0,9.6,0
579,Las voces del paraíso,1,0,0,0,1,0,8.3,0
580,Crónicas perdido,0,0,1,0,1,0,3.5,1
581,Cazadores de la selva siniestro,0,0,0,1,0,1,4.5,1
582,El precio del héroe: Parte I,0,1,0,0,0,0,4.0,0
583,El regreso caótico,0,1,0,0,1,0,4.7,0
584,Cazadores de la justicia: Parte II,0,1,0,0,1,1,7.9,1
585,Lágrimas del héroe,1,0,0,0,0,0,4.5,1
586,El secreto del imperio,0,1,0,0,0,1,4.6,1
587,Frontera del pasado fantasma,1,0,1,0,0,0,7.9,0
588,Luz del mañana,0,0,0,0,0,0,7.9,0
589,El juicio secreto,0,0,1,0,0,0,7.8,1
590,El secreto del dragón: Parte I,1,1,0,0,0,1,6.9,0
591,La sombra del abismo: Parte III,1,1,1,0,0,0,6.6,0
592,El último invisible,1,0,1,0,0,0,6.7,1
593,Crónicas de la venganza,1,1,1,0,0,0,9.5,0
594,El destino de la selva prohibido,0,0,1,0,0,0,4.7,0
595,El imperio del tiempo,0,1,0,0,1,0,5.1,1
596,Luz del dragón salvaje,0,0,1,0,0,1,3.4,0
597,Cazadores del infierno: Parte II,0,1,0,0,0,0,3.2,1
598,Pacto invisible,1,0,0,0,0,0,8.2,1
599,El misterio de la corona olvidado,0,1,0,0,0,0,6.3,1
600,El destino de la justicia olvidado,1,1,0,0,0,0,5.1,0
601,El precio del abismo: Parte I,0,0,1,0,0,0,6.8,1
602,El despertar del traidor salvaje,0,0,0,1,0,1,5.1,1
603,El regreso mortal,0,0,0,0,0,0,7.4,1
604,El precio de la selva,1,1,0,0,0,0,4.9,0
605,La leyenda mortal,1,1,1,0,0,0,8.4,0
606,El despertar del paraíso,0,0,1,0,0,1,8.8,0
607,La leyenda prohibido,1,1,0,1,0,0,5.0,0
608,El precio del desierto: Parte II,1,1,0,0,0,0,3.9,1
609,La leyenda del dragón,1,0,1,0,0,0,6.6,0
610,El despertar del mañana siniestro,0,0,1,0,1,0,5.2,0
611,Operación dorado,0,1,1,0,0,0,7.5,0
612,El último del desierto: Parte III,1,1,0,0,0,0,5.9,1
613,Pacto de la libertad supremo,0,0,1,1,0,0,9.3,1
614,El precio del infierno urbano,0,0,1,0,0,1,4.2,1
615,Ecos del traidor: Parte II,1,0,0,0,0,0,6.8,0
616,El destino del dragón siniestro,0,1,0,0,0,1,6.4,1
617,Ángeles de un extraño silencioso,0,0,0,0,1,0,6.7,1
618,Crónicas oscuro,0,0,1,1,0,1,5.0,0
619,Cazadores del olvido supremo,0,0,0,0,0,1,4.3,1
620,Luz de la corona,1,0,1,0,0,0,9.5,0
621,El misterio siniestro,1,1,0,0,0,1,7.4,0
622,El juicio de la justicia salvaje,0,1,1,0,0,0,8.0,0
623,Las voces del mañana,1,0,1,0,0,0,9.2,0
624,El regreso de la corona: Parte II,0,1,0,0,0,0,9.4,1
625,Operación del pasado: Parte III,1,1,1,0,0,1,9.1,1
626,El regreso perdido,1,0,0,0,0,1,7.5,0
627,La leyenda del abismo imposible,0,0,0,0,0,0,5.7,0
628,El precio perdido,1,1,0,0,0,1,5.6,0
629,Cazadores del laberinto secreto,1,0,1,0,0,0,7.1,1
630,Frontera del traidor,1,1,0,0,1,0,8.4,1
631,El juicio dorado,0,1,0,0,0,0,5.8,1
632,Ecos del olvido: Parte I,0,1,0,0,0,0,3.1,0
633,El secreto supremo,0,0,1,0,0,0,8.4,1
634,Camino del héroe: Parte IV,1,0,1,0,0,0,3.5,0
635,El regreso oscuro,0,1,0,0,1,0,8.2,0
636,Operación siniestro,0,1,1,1,0,0,3.1,1
637,La rebelión del olvido: Parte II,0,0,0,0,0,0,4.9,1
638,El precio de la noche,1,1,0,0,0,0,9.4,1
639,El misterio de la noche,0,1,1,0,0,0,6.4,1
640,La búsqueda de las estrellas absoluto,0,0,0,0,0,0,7.3,0
641,La sombra del imperio,0,0,1,0,0,0,9.2,0
642,Luz prohibido,1,1,1,0,0,0,6.9,0
643,Ecos caótico,1,0,1,0,0,1,6.8,0
644,Frontera de la selva,0,1,1,0,0,1,7.1,1
645,El destino del tiempo,1,0,0,0,0,0,3.9,1
646,El último de sangre,0,0,0,0,0,0,7.3,0
647,El último de las estrellas,0,1,1,0,0,0,6.6,0
648,El código urbano,1,1,1,0,1,0,7.5,0
649,La rebelión de la libertad olvidado,0,0,0,1,1,0,6.2,0
650,Camino de la justicia: Parte III,0,0,1,0,0,1,7.6,0
651,El secreto del héroe,0,1,0,0,0,1,5.1,1
652,Lágrimas del abismo ancestral,0,0,0,0,0,0,6.9,1
653,Frontera imposible,0,0,1,0,0,0,7.0,1
654,El despertar profundo,0,0,1,0,0,1,4.1,0
655,Crónicas de las estrellas: Parte I,0,0,1,0,0,0,8.8,1
656,Operación de la venganza invisible,0,1,0,0,1,0,6.4,1
657,La rebelión del infierno,1,1,0,0,0,0,6.6,1
658,La leyenda inmortal,1,1,1,0,0,0,6.4,1
659,Crónicas del dragón,0,0,1,0,0,0,4.9,1
660,La sombra del traidor caótico,0,0,0,1,0,0,9.8,1
661,Luz de las estrellas: Parte III,1,1,1,1,0,1,3.2,0
662,Pacto del dragón profundo,1,0,0,0,0,0,4.4,1
663,El misterio de un extraño: Parte III,0,1,1,0,0,0,7.1,0
664,Ecos del pasado: Parte II,0,1,1,0,0,0,5.3,0
665,Camino vengador,0,0,1,1,1,0,6.7,0
666,El último del paraíso: Parte II,0,0,0,0,0,0,9.1,1
667,El destino oculto,0,0,0,0,0,1,3.1,1
668,El misterio del traidor: Parte I,1,1,1,1,0,0,5.2,0
669,El código del traidor,0,0,1,0,0,0,9.7,0
670,El misterio de un extraño,0,0,1,0,0,1,3.6,1
671,Crónicas del tiempo,1,0,1,1,0,0,3.7,1
672,El precio imposible,0,0,1,0,0,1,5.3,0
673,El regreso de la justicia,0,0,0,1,0,0,5.7,0
674,La leyenda del dragón oculto,0,0,0,0,0,1,8.5,1
675,Lágrimas del océano: Parte II,0,1,1,1,1,0,8.2,1
676,El juicio del infierno,1,0,1,0,0,1,6.2,1
677,El regreso de la selva,1,1,0,0,0,0,4.5,0
678,Las voces de la corona salvaje,1,1,1,0,0,0,6.5,0
679,Crónicas del imperio: Parte I,0,0,0,0,0,0,8.9,0
680,El último de la selva oculto,0,0,0,0,0,0,5.9,1
681,La sombra de cristal: Parte I,0,0,1,0,0,0,7.2,0
682,Ecos de cristal supremo,1,0,0,1,1,0,8.1,1
683,Cazadores de las estrellas: Parte IV,1,0,1,0,0,0,5.4,0
684,El código caótico,1,1,1,0,0,0,3.9,0
685,Pacto del olvido: Parte IV,0,0,1,0,0,0,6.2,1
686,Ecos del laberinto,0,1,0,0,0,0,7.4,0
687,Lágrimas ancestral,0,0,0,0,0,0,3.7,1
688,Lágrimas de la noche,0,0,1,0,0,0,3.2,0
689,Cazadores del héroe oculto,0,0,0,0,1,0,3.4,1
690,El juicio de las estrellas prohibido,1,0,1,0,0,0,5.9,0
691,La sombra del abismo,0,1,1,0,0,0,9.0,1
692,El último sagrado,0,0,1,0,0,0,8.8,1
693,Crónicas de la verdad caótico,1,0,0,0,0,0,6.6,1
694,Luz de la corona: Parte III,0,0,1,0,0,0,7.1,0
695,El precio del imperio: Parte II,0,1,1,0,1,0,3.4,1
696,Cazadores del héroe sagrado,0,1,1,0,1,0,6.7,1
697,El imperio del héroe,1,0,0,0,0,0,3.6,1
698,La rebelión salvaje,0,1,0,0,1,1,4.9,0
699,El misterio de la venganza: Parte III,1,1,0,1,0,0,7.5,0
700,El imperio del olvido: Parte II,0,1,1,0,1,0,3.1,1
701,El último vengador,0,0,0,0,1,1,5.5,0
702,Frontera del imperio,0,0,1,0,0,0,8.0,1
703,El destino urbano,0,0,0,0,0,0,4.4,1
704,El imperio del dragón fantasma,0,1,1,1,0,0,8.7,0
705,El código del océano: Parte I,1,0,0,0,0,0,5.4,0
706,Crónicas eterno,1,0,1,1,0,0,4.4,1
707,La rebelión de la libertad: Parte IV,0,0,0,0,0,0,3.7,1
708,Frontera fantasma,1,1,0,0,0,0,7.6,1
709,La rebelión del abismo: Parte III,0,0,0,0,0,0,4.2,0
710,Lágrimas caótico,0,0,0,0,0,0,6.8,0
711,El código del tiempo perdido,1,1,0,0,0,0,8.9,1
712,El imperio del olvido,0,1,1,0,0,0,9.4,0
713,La búsqueda del mañana: Parte III,1,1,0,0,0,1,3.1,0
714,El último de la justicia,0,0,0,0,1,0,7.0,0
715,El último prohibido,1,0,1,0,0,0,7.2,0
716,El juicio del mañana: Parte I,1,0,1,0,0,0,3.8,1
717,El último del héroe vengador,0,1,0,0,0,1,7.3,1
718,Lágrimas del océano final,0,0,1,0,0,0,6.0,1
719,Frontera de la selva prohibido,0,0,0,0,1,1,6.5,0
720,El regreso del dragón vengador,1,1,1,0,1,0,8.3,1
721,Las voces del océano caótico,1,0,1,0,0,0,7.8,1
722,Ecos imposible,0,1,0,1,1,0,3.5,1
723,Ecos perdido,0,0,1,0,0,0,9.0,0
724,La sombra del tiempo,0,1,1,1,0,1,5.7,0
725,El precio del héroe: Parte IV,0,1,1,0,1,0,4.7,1
726,Crónicas secreto,0,1,1,0,0,1,8.6,0
727,El destino mortal,0,0,0,0,0,0,5.0,0
728,El juicio del tiempo: Parte III,1,0,1,0,1,0,8.2,0
729,La rebelión invisible,0,1,1,0,0,1,6.3,0
730,Frontera del dragón,1,1,1,0,0,0,4.3,0
731,La leyenda imposible,1,0,0,0,0,1,3.1,0
732,Ecos de la justicia silencioso,0,1,0,0,0,0,6.2,0
733,El regreso del infierno caótico,1,0,0,0,0,1,3.2,0
734,El imperio de la corona silencioso,0,0,0,0,0,1,7.8,0
735,Crónicas urbano,1,0,1,0,0,1,7.8,0
736,El código dorado,1,1,0,0,0,0,5.0,0
737,El regreso del paraíso,1,1,1,0,1,0,3.6,1
738,La leyenda secreto,0,1,0,0,0,0,9.4,1
739,Operación de un extraño,0,0,1,0,1,0,3.5,0
740,El precio de la justicia: Parte III,0,0,1,1,0,0,7.4,0
741,Operación sagrado,0,0,1,0,0,0,4.6,0
742,Las voces secreto,0,1,1,0,0,0,6.4,1
743,Camino del infierno oculto,1,0,0,0,0,0,8.3,0
744,La leyenda vengador,0,1,0,1,0,1,7.6,0
745,Pacto de la verdad: Parte I,1,0,1,0,0,1,4.3,1
746,La leyenda del pasado: Parte II,0,0,0,1,0,0,8.5,1
747,Camino del tiempo silencioso,1,0,0,1,0,1,8.3,0
748,Crónicas del océano,0,1,0,0,0,0,7.8,1
749,La sombra fantasma,1,1,1,0,0,0,9.8,1
750,Frontera final,1,0,1,0,0,1,7.2,1
751,Ángeles del héroe: Parte IV,0,0,1,1,0,0,9.8,1
752,Pacto final,0,1,0,0,0,0,5.8,1
753,Luz del mañana salvaje,1,0,0,0,0,0,7.5,0
754,La búsqueda de la verdad: Parte II,0,0,0,0,1,0,6.5,1
755,Frontera de la justicia fantasma,0,0,1,0,0,1,9.7,0
756,Luz del dragón: Parte IV,0,0,1,0,0,1,6.0,0
757,Lágrimas siniestro,1,0,1,0,0,0,6.6,1
758,El regreso de la libertad: Parte IV,0,1,0,0,0,0,3.6,0
759,El secreto dorado,0,1,1,0,0,0,8.5,0
760,La sombra del desierto,0,0,1,1,0,0,5.2,1
761,Crónicas oculto,0,0,0,0,0,0,7.1,0
762,El misterio del laberinto inmortal,0,1,1,1,0,0,6.7,1
763,Operación perdido,1,0,1,1,0,1,4.3,1
764,Las voces supremo,0,1,1,1,0,1,3.7,1
765,El secreto de la verdad,1,1,0,0,0,0,4.5,1
766,La búsqueda de las estrellas: Parte III,0,0,0,0,0,0,9.6,0
767,La leyenda del infierno,0,1,0,0,0,1,9.2,0
768,Ángeles de la justicia,0,0,0,1,0,0,3.1,1
769,El secreto de sangre: Parte I,0,0,0,0,0,1,5.5,0
770,La sombra sagrado,1,0,1,0,0,1,9.7,0
771,Pacto de cristal: Parte III,1,1,0,0,0,1,5.4,0
772,El despertar invisible,0,1,0,0,0,0,3.8,0
773,La leyenda de la selva: Parte II,1,0,0,0,1,0,7.9,0
774,El juicio de la selva: Parte III,0,1,1,0,0,1,8.9,1
775,Frontera del héroe,1,0,1,0,0,0,5.2,1
776,Lágrimas del tiempo siniestro,1,0,0,1,1,0,4.8,1
777,La leyenda de cristal,0,1,0,0,0,0,6.9,0
778,La rebelión del paraíso: Parte III,1,0,1,1,0,0,9.3,0
779,Ecos sagrado,0,1,1,0,0,1,3.4,0
780,La sombra de las estrellas mortal,0,0,1,0,0,0,6.7,0
781,Crónicas del dragón: Parte I,0,0,0,0,0,0,6.8,1
782,El imperio inmortal,0,0,1,1,0,0,7.3,0
783,Cazadores del mañana,0,0,1,0,0,1,3.3,0
784,El juicio del desierto,1,0,1,1,0,0,4.2,0
785,El código del imperio: Parte II,0,1,0,1,0,0,5.6,0
786,Las voces de la venganza: Parte III,0,0,0,0,0,0,5.8,1
787,El último del infierno olvidado,0,1,1,0,0,0,8.7,1
788,La rebelión del olvido: Parte I,1,1,0,1,0,0,3.2,1
789,El juicio de las estrellas perdido,1,1,0,0,0,0,5.0,1
790,Frontera de las estrellas: Parte IV,0,0,1,0,0,0,4.2,1
791,Pacto del tiempo fantasma,1,0,1,1,0,0,6.6,1
792,Lágrimas de las estrellas,0,1,1,0,0,1,7.7,1
793,La sombra del infierno,0,0,0,0,0,0,8.4,1
794,El misterio de la libertad,1,0,1,1,0,1,7.7,0
795,Pacto dorado,1,1,0,0,0,0,4.5,1
796,El juicio de sangre: Parte II,1,1,0,0,0,0,3.2,0
797,Ecos eterno,0,1,1,1,0,0,3.1,1
798,La leyenda del héroe,0,0,0,0,0,0,8.2,1
799,Operación de la verdad: Parte II,1,0,1,0,0,1,4.1,0
800,El secreto del olvido: Parte III,0,0,0,0,1,0,4.8,0
801,Ecos olvidado,0,1,0,0,0,1,9.0,1
802,Las voces fantasma,1,0,0,0,1,0,9.6,0
803,Cazadores del traidor oscuro,0,0,1,0,0,0,7.0,0
804,La búsqueda del abismo,1,0,0,0,0,0,9.1,1
805,La búsqueda del traidor,0,0,1,0,0,0,8.4,1
806,Crónicas de la venganza dorado,0,1,1,0,0,0,6.3,0
807,Ángeles del olvido inmortal,0,1,1,1,0,1,7.4,0
808,El juicio del desierto olvidado,0,1,0,0,0,0,5.3,1
809,El secreto de la venganza urbano,0,0,1,1,0,1,9.5,0
810,El secreto de la noche oculto,0,0,1,0,0,0,8.7,0
811,El destino de cristal ancestral,1,0,1,0,0,0,7.4,0
812,El regreso del imperio: Parte II,1,1,1,0,0,1,7.5,1
813,El misterio final,0,0,1,0,0,0,9.7,1
814,La rebelión vengador,0,1,0,0,0,0,3.5,0
815,Cazadores profundo,1,0,0,0,0,1,3.8,0
816,Luz del océano,0,1,1,1,0,0,4.9,1
817,Ecos del desierto: Parte III,0,1,0,0,0,0,9.0,1
818,Cazadores dorado,0,0,1,1,1,0,7.5,1
819,Frontera del océano,1,0,1,0,0,0,5.3,0
820,Cazadores del imperio secreto,1,0,1,0,0,1,9.3,1
821,Lágrimas de la selva,1,0,1,1,0,1,9.5,0
822,El juicio del pasado: Parte II,0,0,0,0,0,1,7.2,1
823,Frontera del laberinto fantasma,0,0,1,0,1,0,8.3,1
824,Frontera de cristal,0,0,1,0,0,0,6.5,1
825,Cazadores de un extraño,1,0,1,0,0,0,5.9,0
826,Las voces sagrado,0,1,0,0,1,0,9.5,0
827,Camino del océano perdido,0,0,0,0,0,0,5.9,0
828,La leyenda de las estrellas: Parte II,0,0,0,0,0,1,7.7,0
829,La leyenda del tiempo: Parte IV,0,0,1,0,0,0,3.8,1
830,El secreto del mañana: Parte IV,1,0,1,1,0,1,3.5,0
831,El código del pasado oculto,0,1,0,0,0,0,7.3,0
832,El despertar del dragón vengador,1,0,1,0,0,0,4.4,1
833,Lágrimas de la libertad,1,1,0,0,0,0,8.6,0
834,Camino del imperio: Parte III,0,0,1,1,0,0,3.5,0
835,El juicio del héroe: Parte I,1,0,1,0,0,0,7.1,0
836,El juicio del infierno: Parte III,1,1,0,1,0,0,8.6,0
837,El despertar de la libertad: Parte II,1,0,0,0,0,0,3.8,1
838,El juicio de la corona oscuro,1,1,0,0,0,1,8.9,0
839,Frontera dorado,1,1,1,0,0,0,3.4,0
840,El imperio de sangre,1,0,0,0,1,0,7.1,0
841,El precio de la libertad olvidado,0,0,1,0,1,1,9.6,0
842,La búsqueda dorado,1,1,1,0,0,1,6.0,0
843,Pacto del dragón,0,1,1,0,0,0,4.7,1
844,Crónicas de la justicia profundo,1,1,1,1,0,1,4.5,0
845,Ángeles prohibido,0,0,0,0,0,1,4.9,0
846,Ecos del desierto,0,0,0,1,0,0,3.4,1
847,Operación del dragón,0,1,1,1,0,0,9.6,0
848,Frontera del desierto,1,0,1,0,0,0,4.6,1
849,El destino del imperio caótico,0,0,1,0,0,1,6.7,1
850,El misterio del traidor inmortal,1,0,0,1,0,0,4.2,0
851,El último final,0,0,0,0,0,0,8.8,1
852,El despertar de la verdad,0,0,0,0,0,0,7.9,1
853,Las voces de un extraño olvidado,1,0,1,0,0,0,4.2,0
854,Las voces del desierto dorado,0,1,0,1,0,1,7.8,0
855,La rebelión olvidado,0,1,1,0,0,0,6.0,0
856,Cazadores de la venganza: Parte I,1,1,0,1,0,0,5.4,1
857,La rebelión del imperio,1,0,1,0,1,0,7.5,0
858,Pacto de la venganza,0,1,0,0,0,1,6.5,0
859,Cazadores de cristal prohibido,1,0,0,0,0,0,3.6,0
860,El misterio del dragón siniestro,0,0,1,0,1,0,5.3,1
861,El secreto de la noche,0,1,0,0,0,1,6.1,0
862,El secreto del desierto supremo,1,0,0,1,0,0,6.5,1
863,El imperio del imperio,1,0,0,0,0,0,9.0,1
864,Operación del traidor profundo,1,0,0,0,0,0,9.0,0
865,El imperio de la libertad: Parte III,0,1,0,0,0,0,3.5,1
866,El imperio de un extraño: Parte II,0,1,1,1,0,0,3.7,0
867,La leyenda del héroe: Parte II,0,0,0,0,0,0,5.5,1
868,El imperio del mañana dorado,0,0,1,0,0,0,6.6,0
869,El código de la selva final,0,1,0,0,0,0,4.5,0
870,La búsqueda de la noche,0,0,1,1,0,0,5.4,1
871,Operación fantasma,0,0,0,0,0,0,9.0,0
872,El despertar del tiempo caótico,1,1,1,0,0,0,5.0,1
873,El último fantasma,0,0,0,0,0,0,4.4,0
874,La búsqueda imposible,0,1,1,0,0,0,4.2,0
875,Ángeles imposible,0,1,0,0,0,0,5.8,0
876,La leyenda del paraíso imposible,0,1,0,0,0,0,4.6,1
877,Luz del abismo: Parte II,0,0,0,0,0,0,4.4,0
878,El misterio del desierto: Parte I,0,0,1,1,0,0,3.3,0
879,Camino oculto,0,0,0,0,1,0,9.1,0
880,Las voces prohibido,0,0,0,0,0,1,5.8,0
881,Operación del océano,1,1,1,0,0,1,5.5,0
882,El código siniestro,0,1,0,0,1,1,5.8,0
883,Lágrimas de sangre final,0,0,1,1,0,0,6.5,1
884,El secreto del dragón supremo,0,0,0,0,0,0,4.1,1
885,El imperio de la libertad,1,0,1,0,0,0,9.0,1
886,La rebelión del paraíso final,0,1,0,0,0,0,5.4,0
887,Ángeles de la noche: Parte IV,0,1,0,0,1,0,3.3,1
